"state","year","renewables"
"AK",2001,19.9682936804154
"AK",2002,21.4487503328495
"AK",2003,25.0572590678202
"AK",2004,23.0933338723282
"AK",2005,22.3485311808465
"AK",2006,18.4450587096187
"AK",2007,19.0936492582312
"AK",2008,17.3664865038863
"AK",2009,19.9530145165556
"AK",2010,21.4814190076944
"AK",2011,19.800200692681
"AK",2012,23.1697972924242
"AK",2013,25.1322952267568
"AK",2014,29.0130085000824
"AK",2015,28.3776124996149
"AK",2016,29.5415898783993
"AK",2017,28.148190056226
"AK",2018,29.8480375035431
"AK",2019,29.707637611602
"AK",2020,33.9283297235053
"AK",2021,33.0926428518241
"AL",2001,10.008962643798
"AL",2002,9.45728119421603
"AL",2003,11.8830864193661
"AL",2004,10.487771112576
"AL",2005,9.99748087296382
"AL",2006,7.90390919426405
"AL",2007,5.51827847026206
"AL",2008,6.50817045219043
"AL",2009,10.87931980668
"AL",2010,7.28307770937606
"AL",2011,7.48389346312028
"AL",2012,6.6796602986069
"AL",2013,10.476489413576
"AL",2014,8.20001275543682
"AL",2015,8.62494106683403
"AL",2016,7.26993899600795
"AL",2017,9.17639391736282
"AL",2018,10.3039960963982
"AL",2019,10.6165351810843
"AL",2020,11.553680695351
"AL",2021,10.8147045944224
"AR",2001,8.60367501414857
"AR",2002,10.5459398049313
"AR",2003,8.92719862856503
"AR",2004,10.5077368372264
"AR",2005,10.0851065587271
"AR",2006,6.27634320684476
"AR",2007,8.90745279371568
"AR",2008,11.223265984287
"AR",2009,10.0741294832691
"AR",2010,8.6603998111755
"AR",2011,7.54897392953188
"AR",2012,5.94003686547602
"AR",2013,7.05827744757386
"AR",2014,6.77771335220311
"AR",2015,9.02445734828516
"AR",2016,8.22093258468133
"AR",2017,7.25998569933903
"AR",2018,6.73622562012903
"AR",2019,8.8203977699061
"AR",2020,10.4619276109465
"AR",2021,9.19964120923186
"AZ",2001,8.54912018832648
"AZ",2002,7.95784077216909
"AZ",2003,7.56567211010892
"AZ",2004,6.71150052153059
"AZ",2005,6.39634631546617
"AZ",2006,6.56773811363822
"AZ",2007,5.8643086784747
