Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,52.250000,52.980000,52.250000,52.770000,39.257156,2000
2008-06-26,60.000000,60.000000,50.990002,51.060001,37.985046,9800
2008-06-27,50.790001,50.790001,50.090000,50.160000,37.315506,7700
2008-06-30,50.770000,50.959999,50.250000,50.250000,37.382469,17100
2008-07-01,50.000000,50.000000,48.060001,48.799999,36.303761,14900
2008-07-02,48.529999,48.529999,47.509998,47.509998,35.344090,6700
2008-07-03,47.220001,47.529999,46.720001,47.509998,35.344090,6000
2008-07-07,48.110001,48.209999,47.919998,47.919998,35.649101,2600
2008-07-08,48.240002,48.240002,46.830002,47.950001,35.671425,12200
2008-07-09,48.000000,48.430000,47.599998,47.599998,35.411041,4100
2008-07-10,47.560001,48.119999,47.099998,48.020000,35.723492,1100
2008-07-11,48.240002,48.619999,47.820000,48.259998,35.902039,4200
2008-07-14,48.970001,49.279999,48.619999,49.230000,36.623646,22300
2008-07-15,48.810001,48.810001,47.369999,48.380001,35.991306,12100
2008-07-16,48.419998,49.500000,48.419998,49.500000,36.824509,4300
2008-07-17,50.490002,50.580002,49.570000,49.599998,36.898899,4700
2008-07-18,49.389999,49.389999,49.090000,49.180000,36.586456,4800
2008-07-21,49.750000,50.150002,49.520000,50.130001,37.293186,17300
2008-07-22,50.470001,51.799999,48.900002,49.200001,36.601330,9500
2008-07-23,49.610001,49.639999,49.119999,49.160000,36.571575,5000
2008-07-24,48.529999,48.529999,46.650002,46.959999,34.934937,6500
2008-07-25,47.270000,47.509998,46.810001,47.509998,35.344090,2700
2008-07-28,46.759998,47.529999,46.759998,47.209999,35.120914,18800
2008-07-29,47.560001,48.520000,47.459999,48.320000,35.946678,19200
2008-07-30,49.119999,49.490002,49.009998,49.439999,36.779877,3600
2008-07-31,49.459999,49.599998,47.500000,48.939999,36.407913,3200
2008-08-01,49.259998,49.259998,48.040001,48.070000,35.760689,4600
2008-08-04,47.910000,47.910000,47.099998,47.099998,35.039093,3400
2008-08-05,46.799999,47.200001,46.750000,46.869999,34.867977,1600
2008-08-06,46.709999,47.430000,46.709999,47.380001,35.247383,4000
2008-08-07,47.639999,47.639999,47.200001,47.360001,35.232506,6100
2008-08-08,46.880001,46.880001,46.360001,46.540001,34.622475,4900
2008-08-11,46.660000,46.660000,45.840000,45.840000,34.101730,2500
2008-08-12,45.709999,46.560001,45.709999,46.119999,34.310028,2400
2008-08-13,46.110001,46.349998,45.810001,46.349998,34.481133,3800
2008-08-14,46.430000,46.459999,46.240002,46.240002,34.399300,1200
2008-08-15,47.349998,47.459999,47.169998,47.459999,35.306900,4000
2008-08-18,47.810001,47.880001,46.849998,46.849998,34.853092,2500
2008-08-19,47.000000,47.209999,46.919998,47.200001,35.113472,1800
2008-08-20,47.400002,48.650002,47.400002,48.459999,36.050827,5200
2008-08-21,49.360001,49.720001,49.360001,49.700001,36.973293,12700
2008-08-22,49.970001,50.209999,49.799999,50.189999,37.337826,6000
2008-08-25,50.040001,50.139999,49.250000,49.340000,36.705482,4700
2008-08-26,49.490002,49.490002,48.849998,48.939999,36.407913,4500
2008-08-27,49.410000,50.200001,49.410000,49.990002,37.189045,6100
2008-08-28,53.119999,53.119999,50.080002,50.480000,37.553555,2400
2008-08-29,50.669998,50.669998,50.119999,50.139999,37.300625,5300
2008-09-02,49.990002,49.990002,48.020000,48.020000,35.723492,3500
2008-09-03,47.700001,47.700001,46.369999,46.369999,34.496006,5700
2008-09-04,46.160000,46.160000,44.240002,44.520000,33.119747,23700
2008-09-05,44.279999,44.279999,42.900002,44.139999,32.837063,3900
2008-09-08,44.790001,44.830002,43.340000,43.660000,32.479961,3600
2008-09-09,42.939999,42.939999,39.660000,39.660000,29.504250,19100
2008-09-10,39.470001,40.180000,38.970001,39.919998,29.697664,12700
2008-09-11,39.430000,39.900002,38.349998,39.480000,29.370340,17000
2008-09-12,40.119999,41.580002,40.119999,41.340000,30.754044,5500
2008-09-15,41.459999,41.459999,38.500000,39.209999,29.169476,5100
2008-09-16,39.900002,39.900002,37.799999,38.500000,28.641279,5100
2008-09-17,40.840000,44.169998,37.419998,38.500000,28.641279,7800
2008-09-18,39.500000,39.500000,37.169998,39.310001,29.243874,4900
2008-09-19,43.490002,44.490002,41.560001,43.099998,32.063366,36200
2008-09-22,44.290001,44.290001,41.880001,41.880001,31.155773,14600
2008-09-23,41.599998,41.869999,40.259998,40.529999,30.151463,14800
2008-09-24,41.470001,42.029999,41.470001,41.549999,30.910259,2900
2008-09-25,42.040001,42.470001,41.950001,42.330002,31.490538,5100
2008-09-26,42.270000,42.270000,39.950001,40.389999,30.047319,8300
2008-09-29,43.000000,43.000000,35.189999,35.250000,26.223518,7500
2008-09-30,35.580002,36.509998,35.540001,36.480000,27.138552,8600
2008-10-01,38.299999,38.299999,36.580002,37.150002,27.636978,4300
2008-10-02,37.419998,37.419998,33.660000,33.910000,25.226648,13800
2008-10-03,34.380001,35.680000,33.410000,33.410000,24.854687,6600
2008-10-06,32.009998,32.009998,27.870001,29.809999,22.176540,15200
2008-10-07,28.610001,29.100000,26.580000,26.629999,19.810844,10000
2008-10-08,33.599998,33.599998,23.870001,25.959999,19.312408,43200
2008-10-09,26.000000,26.330000,23.900000,24.299999,18.077484,14400
2008-10-10,24.500000,25.740000,21.750000,24.090000,17.921261,25800
2008-10-13,28.350000,29.879999,26.010000,28.270000,21.030890,27800
2008-10-14,28.250000,33.480000,28.110001,28.559999,21.246624,17900
2008-10-15,28.850000,28.850000,24.299999,24.469999,18.203957,17400
2008-10-16,25.190001,25.830000,23.520000,25.280001,18.806541,12800
2008-10-17,25.840000,26.340000,25.559999,25.840000,19.223141,5500
2008-10-20,26.830000,26.990000,26.000000,26.959999,20.056339,11400
2008-10-21,27.730000,27.730000,25.910000,25.910000,19.275211,9400
2008-10-22,25.010000,25.469999,22.110001,22.650000,16.850006,14000
2008-10-23,30.879999,30.879999,20.059999,20.639999,15.354704,11800
2008-10-24,20.000000,20.000000,18.000000,19.540001,14.536384,13700
2008-10-27,20.049999,20.049999,17.809999,17.809999,13.249384,8900
2008-10-28,18.510000,18.540001,17.000000,18.520000,13.777575,6300
2008-10-29,18.879999,20.490000,18.879999,19.740000,14.685170,13200
2008-10-30,20.290001,23.320000,20.290001,21.780001,16.202787,16000
2008-10-31,21.330000,22.110001,21.000000,21.990000,16.359013,3900
2008-11-03,22.850000,24.570000,22.850000,24.500000,18.226274,13100
2008-11-04,27.490000,28.500000,26.690001,27.709999,20.614290,35000
2008-11-05,30.240000,30.240000,23.959999,24.150000,17.965895,30400
2008-11-06,23.549999,23.549999,21.260000,21.510000,16.001923,40800
2008-11-07,21.889999,22.969999,21.889999,22.629999,16.835123,221900
2008-11-10,26.709999,26.709999,21.920000,22.270000,16.567312,233400
2008-11-11,21.770000,21.770000,20.420000,20.780001,15.458856,467200
2008-11-12,20.209999,20.209999,17.580000,17.580000,13.078284,375500
2008-11-13,17.650000,19.920000,17.600000,19.920000,14.819076,63100
2008-11-14,20.500000,20.500000,18.540001,19.020000,14.149541,51000
2008-11-17,18.740000,19.129999,18.290001,18.600000,13.837090,25900
2008-11-18,18.299999,18.799999,17.230000,17.790001,13.234506,15200
2008-11-19,17.540001,17.799999,15.880000,15.880000,11.813601,10400
2008-11-20,15.460000,15.460000,13.520000,13.520000,10.057927,28500
2008-11-21,14.290000,14.450000,13.780000,14.440000,10.742344,21100
2008-11-24,15.190000,17.090000,15.190000,16.830000,12.520334,19600
2008-11-25,17.799999,17.809999,16.670000,17.790001,13.234506,6000
2008-11-26,17.170000,19.200001,17.170000,18.790001,13.978435,23100
2008-11-28,19.120001,19.290001,18.980000,19.170000,14.261132,6900
2008-12-01,21.000000,21.000000,16.700001,16.700001,12.423623,11000
2008-12-02,17.690001,19.120001,17.230000,18.889999,14.052825,14600
2008-12-03,17.920000,18.559999,17.139999,18.180000,13.524639,22100
2008-12-04,18.049999,18.610001,17.730000,17.730000,13.189868,16800
2008-12-05,18.200001,18.200001,16.950001,18.200001,13.539516,18600
2008-12-08,18.969999,19.450001,18.910000,19.160000,14.253688,17300
2008-12-09,19.990000,21.450001,17.750000,17.750000,13.204748,14500
2008-12-10,18.540001,18.540001,17.820000,18.200001,13.539516,12000
2008-12-11,18.670000,18.830000,17.870001,18.030001,13.413051,14400
2008-12-12,18.270000,18.790001,17.500000,18.250000,13.576715,33300
2008-12-15,19.160000,19.160000,17.590000,18.100000,13.465123,6800
2008-12-16,18.570000,19.389999,18.450001,19.299999,14.357838,22300
2008-12-17,19.950001,20.799999,18.580000,20.480000,15.235678,36500
2008-12-18,20.879999,20.879999,19.910000,19.969999,14.856270,15600
2008-12-19,21.070000,21.070000,19.740000,19.840000,14.759561,22400
2008-12-22,20.280001,20.389999,18.940001,19.480000,14.491747,17100
2008-12-23,20.330000,20.330000,19.650000,19.650000,14.618218,7400
2008-12-24,19.700001,19.700001,19.360001,19.559999,14.551264,10700
2008-12-26,19.780001,19.879999,19.570000,19.850000,14.766998,4300
2008-12-29,20.840000,20.840000,19.760000,19.920000,14.819076,14600
2008-12-30,20.110001,22.549999,20.110001,20.820000,15.488612,44000
2008-12-31,21.620001,21.620001,21.059999,21.389999,15.912654,21900
2009-01-02,21.610001,22.620001,21.500000,22.580000,16.797924,17800
2009-01-05,22.870001,23.650000,22.260000,23.170000,17.236847,31500
2009-01-06,23.500000,23.620001,22.400000,22.820000,16.976467,34700
2009-01-07,23.180000,23.180000,21.290001,21.469999,15.972170,18800
2009-01-08,22.480000,22.480000,21.240000,22.160000,16.485477,13900
2009-01-09,22.520000,22.719999,21.840000,22.049999,16.403646,13900
2009-01-12,22.290001,22.290001,20.389999,20.480000,15.235678,19200
2009-01-13,20.820000,20.820000,19.750000,19.990000,14.871152,24100
2009-01-14,20.000000,20.000000,18.510000,18.900000,14.060268,36400
2009-01-15,18.620001,19.830000,18.500000,19.330000,14.380161,21100
2009-01-16,20.520000,20.580000,19.340000,20.020000,14.893470,33700
2009-01-20,19.980000,19.980000,18.420000,18.490000,13.755257,16100
2009-01-21,19.040001,19.040001,18.290001,19.020000,14.149541,31900
2009-01-22,22.320000,22.320000,18.010000,18.520000,13.777575,5900
2009-01-23,21.340000,21.340000,17.309999,18.500000,13.762696,12300
2009-01-26,18.030001,20.219999,18.030001,18.719999,13.926364,19000
2009-01-27,19.209999,19.360001,18.809999,19.110001,14.216493,8700
2009-01-28,19.690001,19.900000,19.540001,19.660000,14.625660,19000
2009-01-29,19.709999,19.709999,18.820000,19.080000,14.194177,64200
2009-01-30,19.450001,20.500000,18.910000,20.270000,15.079451,13500
2009-02-02,18.930000,18.930000,17.889999,18.370001,13.665985,29000
2009-02-03,18.809999,18.840000,17.500000,18.510000,13.770135,10400
2009-02-04,18.950001,19.340000,18.650000,19.260000,14.328084,12300
2009-02-05,19.219999,19.420000,18.660000,19.270000,14.335521,17600
2009-02-06,19.670000,19.730000,19.260000,19.430000,14.454549,26500
2009-02-09,22.889999,22.889999,18.850000,20.450001,15.213359,25800
2009-02-10,20.240000,20.420000,19.320000,19.350000,14.395037,10900
2009-02-11,19.950001,19.950001,18.780001,19.139999,14.238810,12700
2009-02-12,19.240000,19.370001,18.260000,18.740000,13.941237,14000
2009-02-13,19.209999,19.270000,18.910000,19.170000,14.261132,6000
2009-02-17,19.200001,19.230000,17.850000,18.209999,13.546954,59100
2009-02-18,18.400000,18.400000,17.440001,17.549999,13.055964,52600
2009-02-19,18.000000,18.270000,17.170000,17.170000,12.773271,12200
2009-02-20,16.879999,16.879999,15.870000,16.360001,12.170688,19200
2009-02-23,16.360001,16.590000,15.550000,15.570000,11.582984,12900
2009-02-24,15.990000,16.730000,15.500000,16.540001,12.304596,12200
2009-02-25,16.959999,16.959999,15.540000,15.790000,11.746649,14500
2009-02-26,16.469999,16.500000,15.320000,15.650000,11.642498,20200
2009-02-27,15.810000,15.810000,14.940000,15.230000,11.330046,14300
2009-03-02,14.330000,14.800000,13.510000,14.110000,10.496845,17300
2009-03-03,13.660000,14.250000,13.660000,14.110000,10.496845,10000
2009-03-04,14.330000,14.950000,14.330000,14.890000,11.077112,7400
2009-03-05,14.820000,14.820000,13.590000,13.610000,10.124881,19100
2009-03-06,13.990000,13.990000,13.330000,13.580000,10.102563,7000
2009-03-09,13.800000,13.800000,13.220000,13.330000,9.916580,11900
2009-03-10,14.500000,14.650000,14.280000,14.370000,10.690268,19400
2009-03-11,14.990000,15.000000,14.180000,14.610000,10.868809,10000
2009-03-12,14.650000,14.950000,14.000000,14.950000,11.121745,11200
2009-03-13,15.000000,15.350000,14.900000,15.280000,11.367245,14500
2009-03-16,15.650000,15.750000,15.200000,15.300000,11.382123,10000
2009-03-17,15.460000,15.460000,14.500000,14.710000,10.943204,33000
2009-03-18,15.100000,15.220000,14.670000,15.020000,11.173822,15200
2009-03-19,15.490000,16.020000,15.490000,15.950000,11.865678,15400
2009-03-20,16.049999,16.120001,15.020000,15.390000,11.449076,46000
2009-03-23,15.740000,16.549999,15.740000,16.540001,12.304596,36800
2009-03-24,16.530001,16.530001,16.250000,16.270000,12.103734,13900
2009-03-25,17.139999,17.139999,15.830000,16.389999,12.193006,18400
2009-03-26,17.200001,18.930000,16.840000,18.760000,13.956116,40800
2009-03-27,18.830000,18.830000,17.600000,18.400000,13.688300,47100
2009-03-30,18.400000,18.650000,17.000000,17.230000,12.817906,30200
2009-03-31,17.430000,18.090000,17.120001,17.500000,13.018766,21200
2009-04-01,17.500000,18.000000,17.110001,17.889999,13.308898,22600
2009-04-02,18.000000,19.540001,18.000000,18.730000,13.933800,26200
2009-04-03,19.000000,19.200001,18.580000,18.780001,13.970996,12600
2009-04-06,19.559999,19.559999,18.389999,18.660000,13.881729,15500
2009-04-07,18.820000,18.820000,17.840000,17.920000,13.331217,13300
2009-04-08,18.230000,18.379999,17.950001,18.379999,13.673425,11500
2009-04-09,19.290001,19.600000,19.110001,19.400000,14.432231,10500
2009-04-13,20.480000,20.480000,19.049999,19.930000,14.826517,11300
2009-04-14,19.920000,20.059999,19.500000,19.860001,14.774439,15100
2009-04-15,20.000000,20.459999,19.629999,19.950001,14.841395,15500
2009-04-16,20.000000,20.900000,19.840000,20.160000,14.997620,10900
2009-04-17,20.129999,20.230000,19.660000,19.830000,14.752125,24600
2009-04-20,19.820000,19.820000,18.100000,18.100000,13.465123,31300
2009-04-21,18.049999,18.760000,18.000000,18.700001,13.911484,5300
2009-04-22,18.980000,20.940001,18.500000,18.879999,14.045390,26400
2009-04-23,19.459999,19.600000,19.139999,19.350000,14.395037,15000
2009-04-24,19.730000,19.809999,19.200001,19.510000,14.514066,10800
2009-04-27,19.230000,19.400000,18.760000,18.820000,14.000757,26300
2009-04-28,18.660000,18.940001,18.500000,18.809999,13.993312,15900
2009-04-29,18.900000,20.219999,18.900000,19.969999,14.856270,8300
2009-04-30,20.990000,21.299999,20.629999,21.049999,15.659715,19200
2009-05-01,22.190001,22.200001,21.000000,21.000000,15.622522,15600
2009-05-04,22.290001,22.860001,21.900000,22.780001,16.946714,18200
2009-05-05,23.530001,23.530001,22.500000,22.790001,16.954159,41200
