state,area
AK,663300
AL,52419
AR,53179
AZ,113998
CA,163696
CO,104185
CT,5453
DE,1982
FL,65758
GA,59425
HI,10931
IA,55857
ID,83642
IL,57915
IN,36418
KS,82278
KY,40409
LA,52378
MA,10565
MD,12407
ME,35385
MI,96716
MN,86943
MO,69715
MS,48430
MT,147040
NC,53819
ND,70704
NE,77358
NH,9349
NJ,8723
NM,121697
NV,110567
NY,54556
OH,44825
OK,69899
OR,98466
PA,46055
RI,1214
SC,32020
SD,77116
TN,42181
TX,268597
UT,84899
VA,42775
VT,9616
WA,71300
WI,65498
WV,24038
WY,97914
